No.,Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier
1,2,15pF,"C1,C2",C0603,15pF,,,,
2,4,4.7uF,"C3,C4,C5,C8",C0402,4.7uF,,,,
3,1,1uF,C6,C0402,1uF,,,,
4,10,100nF,"C7,C9,C12,C13,C14,C15,C16,C17,C18,C19",C0402,100nF,,,C1525,
5,2,10uF,"C10,C11",C0402,10uF,,,,
6,1,3.3uF,L1,L0603,3.3uF,,,,
7,1,5.1k,R1,R0402,5.1k,,,,
8,2,27,"R2,R3",R0603,27,,,,
9,3,1k,"R4,R5,RESET",R0603,1k,,,,
10,1,33,R7,R0402,33,,,,
11,1,150,R8,R0402,150,,,,
12,2,TS-1088-AR02016,"SW1,SW2",SW-SMD_L3.9-W3.0-P4.45,,TS-1088-AR02016,XUNPU(??),C720477,LCSC
13,1,RP2354A,U1,QFN-60_L7.0-W7.0-P0.40-TL-EP3.4,,RP2354A,Raspberry Pi(???),C41378174,LCSC
14,1,ABM8-272-T3,U2,CRYSTAL-SMD_4P-L3.2-W2.5-BL,,ABM8-272-T3,ABRACON,C20625731,LCSC
15,1,XL-1005UBC,U4,LED0402-RD,,XL-1005UBC,XINGLIGHT(???),C22355736,LCSC
16,1,NCP1117LPST33T3G,U5,SOT-223_L6.5-W3.5-P2.30-LS7.0-BR,,NCP1117LPST33T3G,onsemi(???),C146799,LCSC
17,1,GT-USB-8016A,USB1,USB-TYPE-C-SMD_GT-USB-8016A,,GT-USB-8016A,G-Switch(??),C2988371,LCSC
