Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Pins,Layer,Rotation,SMD,Comment,Supplier,JLCPCB Part Class,LCSC Part Name,Supplier Part
C1,CAP_0603,C0603,23.622mm,-37.338mm,23.622mm,-37.338mm,23.622mm,-36.638mm,2,T,270,Yes,15pF,,,,
C2,CAP_0603,C0603,18.288mm,-34.544mm,18.288mm,-34.544mm,18.288mm,-33.844mm,2,T,270,Yes,15pF,,,,
C3,CAP_0402,C0402,15.785mm,-22.008mm,15.785mm,-22.008mm,15.785mm,-22.553mm,2,T,90,Yes,4.7uF,,,,
C4,CAP_0402,C0402,26.416mm,-23.368mm,26.416mm,-23.368mm,25.871mm,-23.368mm,2,T,0,Yes,4.7uF,,,,
C5,CAP_0402,C0402,16.51mm,-19.05mm,16.51mm,-19.05mm,16.51mm,-19.595mm,2,T,90,Yes,4.7uF,,,,
C6,CAP_0402,C0402,26.543mm,-26.67mm,26.543mm,-26.67mm,25.998mm,-26.67mm,2,T,0,Yes,1uF,,,,
C7,CAP_0402,C0402,26.543mm,-27.94mm,26.543mm,-27.94mm,25.998mm,-27.94mm,2,T,0,Yes,100nF,,,,C1525
C8,CAP_0402,C0402,25.273mm,-37.465mm,25.273mm,-37.465mm,25.273mm,-36.92mm,2,T,270,Yes,4.7uF,,,,
C9,CAP_0402,C0402,14.986mm,-26.543mm,14.986mm,-26.543mm,14.986mm,-27.088mm,2,T,90,Yes,100nF,,,,C1525
C10,CAP_0402,C0402,15.531mm,-16.981mm,15.531mm,-16.981mm,14.986mm,-16.981mm,2,T,0,Yes,10uF,,,,
C11,CAP_0402,C0402,15.494mm,-15.24mm,15.494mm,-15.24mm,14.949mm,-15.24mm,2,T,0,Yes,10uF,,,,
C12,CAP_0402,C0402,26.543mm,-29.21mm,26.543mm,-29.21mm,27.088mm,-29.21mm,2,T,180,Yes,100nF,,,,C1525
